claim_number, claim_percent, claim_amount, remaining_supply
1, 1000000000000000000, 2674138840000000000000000000, 264739745160000000000000000000
2, 999900000000000000, 2647132711854840000000000000, 262092612448145160000000000000
3, 999800010000000000, 2620401965465816554494516000, 259472210482679343445505484000
4, 999700029999000000, 2593943766034413819123694563, 256878266716644929626381789437
5, 999600059996000100, 2567755308216267872741871062, 254310511408428661753639918375
6, 999500099990000500, 2541833815812326103068006913, 251768677592616335650571911462
7, 999400149980001500, 2516176541463274088427959781, 249252501051153061562143951681
8, 999300209965003500, 2490780766347195100081567008, 246761720284805866462062384673
9, 999200279944007000, 2465643799880427725106282092, 244296076484925438736956102581
10, 999100359916012600, 2440762979421587481210807605, 241855313505503851255745294976
11, 999000449880020999, 2416135669978718659802904546, 239439177835525132595942390430
12, 998900549835032997, 2391759263919543009205991735, 237047418571605589586736398695
13, 998800659780049494, 2367631180684772204781029956, 234679787390920817381955368739
14, 998700779714071490, 2343748866504451433017936078, 232336038524416365948937432661
15, 998600909636100083, 2320109794117301751203580157, 230015928730299064197733852504
16, 998501049545136473, 2296711462493029258070101952, 227719217267806034939663750552
17, 998401199440181960, 2273551396557569407698048865, 225445665871248465531965701687
18, 998301359320237942, 2250627146921235182386542635, 223195038724327230349579159052
19, 998201529184305919, 2227936289609738175596128389, 220967102434717492173983030663
20, 998101709031387489, 2205476425798051923680781567, 218761626008919440250302249096
21, 998001898860484351, 2183245181547087220788890044, 216578380827372353029513359052
22, 997902098670598303, 2161240207543149415646716728, 214417140619829203613866642324
23, 997802308460731244, 2139459178840148058644149165, 212277681440989055555222493159
24, 997702528229885171, 2117899794604529546453232204, 210159781646384526008769260955
25, 997602757977062183, 2096559777862903772627062199, 208063221868521622236142198756
26, 997502997701264477, 2075436875252336046064174631, 205987784993269286190078024125
27, 997403247401494351, 2054528856773275912411562718, 203933256136496010277666461407
28, 997303507076754202, 2033833515545094760774431600, 201899422620950915516892029807
29, 997203776726046527, 2013348667564204442613483735, 199886073953386711074278546072
30, 997104056348373923, 1993072151464729402848727032, 197893001801921981671429819040
31, 997004345942739086, 1973001828281705127219661739, 195919999973640276544210157301
32, 996904645508144813, 1953135581216776009955730969, 193966864392423500534254426332
33, 996804955043593999, 1933471315406366010833464050, 192033393077017134523420962282
34, 996705274548089640, 1914006957692295794474219631, 190119386119324838728946742651
35, 996605604020634832, 1894740456394820285661799607, 188224645662930018443284943044
36, 996505943460232769, 1875669781088060880393271772, 186348975881841957562891671272
37, 996406292865886746, 1856792922377806834120228600, 184492182959464150728771442672
38, 996306652236600158, 1838107891681660593645797617, 182654075067782490135125645055
39, 996207021571376498, 1819612721011502133311340781, 180834462346770988001814304274
40, 996107400869219361, 1801305462758247630617572805, 179033156884012740371196731469
41, 996007790129132440, 1783184189478878042582947983, 177249972694533862328613783486
42, 995908189350119527, 1765246993685713456314381873, 175484725700848148872299401613
43, 995808598531184516, 1747491987637909316262175329, 173737233713210239556037226284
44, 995709017671331398, 1729917303135150875360185041, 172007316410075088680677041243
45, 995609446769564265, 1712521091313522518875116141, 170294795318761566161801925102
46, 995509885824887309, 1695301522443528805193543513, 168599493796318037356608381589
47, 995410334836304821, 1678256785730244350153863929, 166921237010587793006454517660
48, 995310793802821191, 1661385089115569919534074716, 165259851921472223086920442944
49, 995211262723440909, 1644684659082572335315548914, 163615167262389650751604894030
50, 995111741597168565, 1628153740461886038261277108, 161987013521927764713343616922
51, 995012230423008849, 1611790596240154392091974430, 160375222925687610321251642492
52, 994912729199966549, 1595593507370489044597604732, 158779629418317121276654037760
53, 994813237927046553, 1579560772584925906486180581, 157200068645732195370167857179
54, 994713756603253849, 1563690708208856519003876438, 155636377937523338851163980741
55, 994614285227593524, 1547981647977413820596599726, 154088396289545925030567381015
56, 994514823799070765, 1532431942853791550828566123, 152555964346692133479738814892
57, 994415372316690858, 1517039960849476741256994692, 151038924385842656738481820200
58, 994315930779459189, 1501804086846374975778155581, 149537120298996281762703664619
59, 994216499186381244, 1486722722420808309736373651, 148050397576575473452967290968
60, 994117077536462606, 1471794285669365954422207033, 146578603290906107498545083935
61, 994017665828708960, 1457017211036588066014021530, 145121586079869519432531062405
62, 993918264062126090, 1442389949144463148186362596, 143679196130725056284344699809
63, 993818872235719878, 1427910966623719825617165431, 142251285164101336458727534378
64, 993719490348496307, 1413578745946893939197783362, 140837706418154442519529751016
65, 993620118399461458, 1399391785263152100656512997, 139438314632891290418873238019
66, 993520756387621512, 1385348598234853076715075430, 138052966034656437342158162589
67, 993421404311982750, 1371447713875828546312335008, 136681518320780608795845827581
68, 993322062171551552, 1357687676391364983763512617, 135323830644389243812082314964
69, 993222729965334397, 1344067045019868617321143721, 133979763599369375194761171243
70, 993123407692337864, 1330584393876195602944948479, 132649179205493179591816222764
71, 993024095351568631, 1317238311796629740293846788, 131331940893696549851522375976
72, 992924792942033475, 1304027402185490255310240525, 130027913491511059596212135451
73, 992825500462739272, 1290950282863352355278799173, 128736963208647707240933336278
74, 992726217912692999, 1278005585916863451280685971, 127458957622730843789652650307
75, 992626945290901730, 1265191957550138113046442226, 126193765665180705676606208081
76, 992527682596372640, 1252508057937715030976113748, 124941257607242990645630094333
77, 992428429828113003, 1239952561079059402634349577, 123701305046163931242995744756
78, 992329186985130192, 1227524154654594367036999780, 122473780891509336875958744976
79, 992229954066431679, 1215221539883245272171041313, 121258559351626091603787703663
80, 992130731071025036, 1203043431381480738447962366, 120055515920244610865339741297
81, 992031517997917934, 1190988557023834647402522771, 118864527363220776217937218526
82, 991932314846118143, 1179055657804893362078756831, 117685471705415882855858461695
83, 991833121614633532, 1167243487702732648352823188, 116518228217713150207505638507
84, 991733938302472069, 1155550813543788933749009630, 115362677404169361273756628877
85, 991634764908641822, 1143976414869149705700550728, 114218700989300211568056078149
86, 991535601432150958, 1132519083802248009006012700, 113086181905497963559050065449
87, 991436447872007743, 1121177624917946170046207900, 111965004280580017389003857549
88, 991337304227220543, 1109950855112994030643189192, 110855053425467023358360668357
89, 991238170496797821, 1098837603477847126176992862, 109756215821989176232183675495
90, 991139046679748142, 1087836711169830417310405479, 108668379110819345814873270016
91, 991039932775080168, 1076947031287633304781580392, 107591432079531712510091689624
92, 990940828781802660, 1066167428747121848399954416, 106525264650784590661691735208
93, 990841734698924480, 1055496780158454234746228479, 105469767870626136426945506729
94, 990742650525454588, 1044933973704485689858090165, 104424833896921650737087416564
95, 990643576260402043, 1034477909020449195647053634, 103390355987901201541440362930
96, 990544511902776003, 1024127497074898499246830536, 102366228490826303042193532394
97, 990445457451585726, 1013881660051900056351575438, 101352346830774402985841956956
98, 990346412905840568, 1003739331234460685997923539, 100348607499539942299844033417
99, 990247378264549984, 993699454889177865771174156, 99354908044650764434072859261
100, 990148353526723530, 983760986152099727526920669, 98371147058498664706545938592
101, 990049338691370858, 973922890915781946108781687, 97397224167582882760437156905
102, 989950333757501721, 964184145717528875213615488, 96433040021865353885223541417
103, 989851338724125971, 954543737628806385414471315, 95478496284236547499809070102
104, 989752353590253559, 945000664145814019362711919, 94533495620090733480446358183
105, 989653378354894534, 935553933081204199309045772, 93597941687009529281137312411
106, 989554413017059045, 926202562456936359723482166, 92671739124552592921413830245
107, 989455457575757340, 916945580398253997611188160, 91754793544154338923802642085
108, 989356512029999765, 907782025028772769912673630, 90847011519125566153889968455
109, 989257576378796766, 898710944366667893772343447, 89948300574758898260117625008
